care,pn,bp,poc,disease,metric,year,value
baseline,moderate,moderate,True,ng,prevalence,2033,0.011113360015659877
baseline,moderate,moderate,True,ng,prevalence,2034,0.012228749837813403
baseline,moderate,moderate,True,ng,prevalence,2035,0.014256072721292382
baseline,moderate,moderate,True,ng,prevalence,2036,0.01403881617188644
baseline,moderate,moderate,True,ng,prevalence,2037,0.012377797577819798
baseline,moderate,moderate,True,ng,prevalence,2038,0.012393721817911594
baseline,moderate,moderate,True,ng,prevalence,2039,0.012093026320650645
baseline,moderate,moderate,True,ng,prevalence,2040,0.013857896281295311
baseline,moderate,none,True,ng,prevalence,2027,0.016208263017643505
baseline,moderate,none,True,ng,prevalence,2028,0.015568238183778638
baseline,moderate,none,True,ng,prevalence,2029,0.015392762872170281
baseline,moderate,none,True,ng,prevalence,2030,0.01651697734076348
baseline,moderate,none,True,ng,prevalence,2031,0.015056923385158382
baseline,moderate,none,True,ng,prevalence,2032,0.015179817698573123
baseline,moderate,none,True,ng,prevalence,2033,0.014185982622228168
baseline,moderate,none,True,ng,prevalence,2034,0.015046548771478646
baseline,moderate,none,True,ng,prevalence,2035,0.018451148395041316
baseline,moderate,none,True,ng,prevalence,2036,0.018648386814207878
baseline,moderate,none,True,ng,prevalence,2037,0.019115526005905274
baseline,moderate,none,True,ng,prevalence,2038,0.01860835943668061
baseline,moderate,none,True,ng,prevalence,2039,0.020006070489278827
baseline,moderate,none,True,ng,prevalence,2040,0.0227931555137366
high,baseline,high,True,ng,prevalence,2027,0.01473709469254377
high,baseline,high,True,ng,prevalence,2028,0.011397396738812113
high,baseline,high,True,ng,prevalence,2029,0.009424752133504787
high,baseline,high,True,ng,prevalence,2030,0.007621875116114643
high,baseline,high,True,ng,prevalence,2031,0.006928420015594528
high,baseline,high,True,ng,prevalence,2032,0.006806564077476653
high,baseline,high,True,ng,prevalence,2033,0.005835099322534563
high,baseline,high,True,ng,prevalence,2034,0.006375341750177016
high,baseline,high,True,ng,prevalence,2035,0.007112563637308983
high,baseline,high,True,ng,prevalence,2036,0.006804983425907102
high,baseline,high,True,ng,prevalence,2037,0.006592179099966422
