arm,seed,uid,t0_year,reinfected,months,src_cat
SOC,263004,14492,2028,True,20.0,f_other
SOC,263004,14493,2030,True,21.0,fsw
SOC,263004,14496,2028,False,,none
SOC,263004,14515,2030,True,23.0,m_other
SOC,263004,14542,2034,True,5.0,f_other
SOC,263004,14548,2029,True,4.0,f_other
SOC,263004,14552,2031,True,8.0,fsw
SOC,263004,14557,2036,True,31.0,m_other
SOC,263004,14559,2037,True,2.0,m_other
SOC,263004,14560,2036,False,,none
SOC,263004,14573,2029,True,1.0,f_other
SOC,263004,14580,2031,True,14.0,m_other
SOC,263004,14582,2031,True,15.0,m_other
SOC,263004,14586,2032,True,2.0,m_other
SOC,263004,14587,2031,False,,none
SOC,263004,14594,2037,True,11.0,f_other
SOC,263004,14599,2033,False,,none
SOC,263004,14601,2030,True,2.0,f_other
SOC,263004,14614,2029,True,6.0,m_other
SOC,263004,14623,2028,True,12.0,fsw
SOC,263004,14624,2029,True,6.0,f_other
SOC,263004,14626,2029,False,,none
SOC,263004,14627,2028,False,,none
SOC,263004,14637,2029,True,1.0,m_other
SOC,263004,14640,2028,True,28.0,m_other
SOC,263004,14642,2030,True,21.0,f_other
SOC,263004,14644,2029,True,29.0,f_other
SOC,263004,14649,2037,True,32.0,f_other
SOC,263004,14650,2032,True,2.0,f_other
SOC,263004,14651,2037,False,,none
SOC,263004,14654,2028,True,1.0,fsw
SOC,263004,14661,2035,False,,none
SOC,263004,14662,2028,False,,none
SOC,263004,14664,2029,True,14.0,fsw
SOC,263004,14665,2033,True,14.0,f_other
SOC,263004,14666,2029,True,1.0,m_other
SOC,263004,14668,2033,False,,none
SOC,263004,14672,2037,True,8.0,f_other
SOC,263004,14673,2036,True,10.0,m_other
SOC,263004,14677,2032,True,4.0,m_other
SOC,263004,14680,2028,False,,none
SOC,263004,14686,2029,True,12.0,client
SOC,263004,14694,2030,True,19.0,m_other
SOC,263004,14699,2028,True,3.0,client
SOC,263004,14700,2037,False,,none
SOC,263004,14702,2028,True,15.0,fsw
SOC,263004,14718,2036,True,2.0,f_other
SOC,263004,14727,2029,True,3.0,f_other
SOC,263004,14733,2033,True,1.0,m_other
SOC,263004,14735,2031,True,1.0,f_other
SOC,263004,14737,2036,False,,none
SOC,263004,14744,2037,True,1.0,f_other
SOC,263004,14746,2036,True,6.0,f_other
SOC,263004,14748,2028,True,4.0,m_other
SOC,263004,14752,2029,True,14.0,fsw
SOC,263004,14753,2029,True,11.0,fsw
SOC,263004,14756,2028,True,6.0,fsw
SOC,263004,14764,2028,True,2.0,m_other
SOC,263004,14765,2028,True,28.0,f_other
SOC,263004,14766,2036,False,,none
SOC,263004,14769,2035,True,26.0,f_other
SOC,263004,14771,2035,True,13.0,f_other
SOC,263004,14775,2031,True,5.0,fsw
SOC,263004,14776,2031,True,4.0,fsw
SOC,263004,14787,2030,False,,none
SOC,263004,14788,2030,True,5.0,f_other
SOC,263004,14794,2028,True,19.0,fsw
SOC,263004,14799,2032,True,2.0,m_other
SOC,263004,14801,2034,True,7.0,f_other
SOC,263004,14802,2030,True,6.0,m_other
SOC,263004,14805,2030,True,24.0,fsw
SOC,263004,14809,2028,True,1.0,m_other
SOC,263004,14811,2037,True,1.0,f_other
SOC,263004,14817,2030,False,,none
SOC,263004,14829,2028,True,9.0,m_other
SOC,263004,14840,2033,True,1.0,f_other
SOC,263004,14842,2028,True,7.0,f_other
SOC,263004,14843,2030,True,5.0,f_other
SOC,263004,14845,2031,True,30.0,fsw
SOC,263004,14852,2028,False,,none
SOC,263004,14856,2028,True,13.0,f_other
SOC,263004,14860,2033,False,,none
SOC,263004,14865,2030,True,1.0,m_other
SOC,263004,14870,2030,False,,none
SOC,263004,14872,2028,True,20.0,client
SOC,263004,14875,2033,True,3.0,m_other
SOC,263004,14876,2031,True,1.0,f_other
SOC,263004,14896,2029,True,23.0,fsw
SOC,263004,14897,2037,False,,none
SOC,263004,14899,2035,True,5.0,f_other
SOC,263004,14900,2029,True,4.0,m_other
SOC,263004,14905,2030,True,3.0,f_other
SOC,263004,14914,2035,False,,none
SOC,263004,14924,2028,False,,none
SOC,263004,14928,2028,True,6.0,fsw
SOC,263004,14932,2033,True,28.0,m_other
SOC,263004,14935,2028,True,5.0,m_other
SOC,263004,14942,2034,True,25.0,f_other
SOC,263004,14945,2034,True,23.0,f_other
SOC,263004,14947,2036,True,36.0,f_other
SOC,263004,14949,2033,True,2.0,f_other
SOC,263004,14954,2032,False,,none
SOC,263004,14960,2037,True,14.0,f_other
SOC,263004,14961,2036,True,24.0,m_other
SOC,263004,14967,2031,False,,none
SOC,263004,14968,2030,True,2.0,f_other
SOC,263004,14969,2033,True,3.0,f_other
SOC,263004,14981,2033,True,1.0,client
SOC,263004,14988,2028,True,5.0,client
SOC,263004,14990,2031,True,9.0,f_other
SOC,263004,14999,2033,True,8.0,f_other
SOC,263004,15002,2030,True,27.0,m_other
