ng_inf,ct_inf,tv_inf,syph_inf,hiv_inf,ng_tx,ct_tx,pn_notified,pn_attending,lbw,sga,svn,births,syph_congenital,syph_congenital_deaths,sweep,scen,draw_idx
,,,,,,,,,,,,,,,dx_x_pn,poc_high,843
4548.858200000001,3715.8708000000006,24695.1666,0.0,66.88220000000001,3784.4902,3784.4902,0.0,0.0,122.4726,634.0780000000001,988.4668000000001,5646.768599999999,0.0,0.0,baseline,baseline,572
4548.858200000001,3715.8708000000006,24695.1666,0.0,66.88220000000001,3784.4902,3784.4902,0.0,0.0,122.4726,634.0780000000001,988.4668000000001,5646.768599999999,0.0,0.0,pn_coverage,none,572
5556.4342,3513.487,25301.4494,0.0,59.933400000000006,3931.2836,3931.2836,500.3136,104.23200000000001,120.73540000000001,641.0268000000001,988.4668000000001,5647.6372,0.0,0.0,pn_coverage,low,572
4970.9978,3662.0176,24967.907,0.0,62.5392,4135.404600000001,4135.404600000001,1520.05,594.991,107.7064,625.392,973.7006000000002,5655.454600000001,0.0,0.0,pn_coverage,med,572
5141.2434,3100.0334000000003,22866.763600000002,0.0,65.14500000000001,4415.9624,4415.9624,2833.3732,1668.5806000000002,110.31220000000002,616.7060000000001,950.2484000000002,5665.8778,0.0,0.0,pn_coverage,high,572
4970.9978,3662.0176,24967.907,0.0,62.5392,4135.404600000001,4135.404600000001,1520.05,594.991,107.7064,625.392,973.7006000000002,5655.454600000001,0.0,0.0,care_seeking,cs_x1,572
4989.2384,2988.8526,24074.986200000003,0.0,76.4368,4577.522000000001,4577.522000000001,1693.77,682.7196000000001,114.65520000000001,618.4432000000002,981.5180000000003,5645.0314,0.0,0.0,care_seeking,cs_x1.25,572
5150.798000000001,2712.6378000000004,24273.027000000002,0.0,56.458999999999996,4922.3562,4922.3562,1767.601,732.2298000000001,101.62620000000001,610.6258,965.0146000000002,5649.3744,0.0,0.0,care_seeking,cs_x1.5,572
5314.963400000001,2630.9894000000004,23553.826200000003,0.0,58.196200000000005,5785.744600000001,5785.744600000001,2071.611,871.2058000000002,97.28320000000002,607.1514,944.1682000000001,5647.637200000001,0.0,0.0,care_seeking,cs_x2,572
4548.858200000001,3715.8708000000006,24695.1666,0.0,66.88220000000001,3784.4902,3784.4902,0.0,0.0,122.4726,634.0780000000001,988.4668000000001,5646.768599999999,0.0,0.0,dx_x_pn,soc_none,572
5556.4342,3513.487,25301.4494,0.0,59.933400000000006,3931.2836,3931.2836,500.3136,104.23200000000001,120.73540000000001,641.0268000000001,988.4668000000001,5647.6372,0.0,0.0,dx_x_pn,soc_low,572
4970.9978,3662.0176,24967.907,0.0,62.5392,4135.404600000001,4135.404600000001,1520.05,594.991,107.7064,625.392,973.7006000000002,5655.454600000001,0.0,0.0,dx_x_pn,soc_med,572
5141.2434,3100.0334000000003,22866.763600000002,0.0,65.14500000000001,4415.9624,4415.9624,2833.3732,1668.5806000000002,110.31220000000002,616.7060000000001,950.2484000000002,5665.8778,0.0,0.0,dx_x_pn,soc_high,572
,,,,,,,,,,,,,,,dx_x_pn,poc_none,572
,,,,,,,,,,,,,,,dx_x_pn,poc_low,572
,,,,,,,,,,,,,,,dx_x_pn,poc_med,572
,,,,,,,,,,,,,,,dx_x_pn,poc_high,572
7840.852200000001,3159.9668,30691.981,0.0,139.8446,4433.3344,4433.3344,0.0,0.0,126.81560000000002,688.7998000000001,1027.5538000000001,5843.9408,0.0,0.0,baseline,baseline,3
7840.852200000001,3159.9668,30691.981,0.0,139.8446,4433.3344,4433.3344,0.0,0.0,126.81560000000002,688.7998000000001,1027.5538000000001,5843.9408,0.0,0.0,pn_coverage,none,3
7656.709000000001,2857.6940000000004,28119.187800000003,0.0,160.69100000000003,4105.8722,4105.8722,482.94160000000005,99.02040000000001,127.68420000000002,689.6684000000001,1046.663,5845.678,0.0,0.0,pn_coverage,low,3
7810.451200000001,2760.4108,27961.9712,0.0,132.02720000000002,4388.1672,4388.1672,1422.7668,548.9552000000001,111.1808,683.5882000000001,1029.2910000000002,5854.364000000001,0.0,0.0,pn_coverage,med,3
7642.8114000000005,2766.491,24660.4226,0.0,138.1074,4711.286400000001,4711.286400000001,2776.0456000000004,1655.5516,109.4436,657.5302,984.9924000000001,5856.969800000001,0.0,0.0,pn_coverage,high,3
7810.451200000001,2760.4108,27961.9712,0.0,132.02720000000002,4388.1672,4388.1672,1422.7668,548.9552000000001,111.1808,683.5882000000001,1029.2910000000002,5854.364000000001,0.0,0.0,care_seeking,cs_x1,3
7500.361000000001,2525.0202,26461.030400000003,0.0,132.8958,5011.822000000001,5011.822000000001,1609.5158,627.9978000000001,118.12960000000001,682.7196000000001,1017.9992000000001,5827.437400000001,0.0,0.0,care_seeking,cs_x1.25,3
7423.9241999999995,2493.7506000000003,26884.038600000003,0.0,158.9538,5616.3676,5616.3676,1867.4900000000002,760.0250000000001,121.60400000000001,689.6684,1014.5248000000001,5878.6848,0.0,0.0,care_seeking,cs_x1.5,3
7362.2536,2157.6024,26176.1296,0.0,133.76440000000002,6149.688,6149.688,2104.6178,814.7468000000001,110.31220000000002,662.7418000000001,992.8098000000001,5872.604600000001,0.0,0.0,care_seeking,cs_x2,3
7840.852200000001,3159.9668,30691.981,0.0,139.8446,4433.3344,4433.3344,0.0,0.0,126.81560000000002,688.7998000000001,1027.5538000000001,5843.9408,0.0,0.0,dx_x_pn,soc_none,3
7656.709000000001,2857.6940000000004,28119.187800000003,0.0,160.69100000000003,4105.8722,4105.8722,482.94160000000005,99.02040000000001,127.68420000000002,689.6684000000001,1046.663,5845.678,0.0,0.0,dx_x_pn,soc_low,3
