draw_idx,hiv_prev_2010_2020,trep_f_2016,nontrep_f_2016,hiv_trep_ratio_2016,fsw_prev_2019,primary_share,secondary_share,early_lat_share,pf_2035_2040_ng,pf_2035_2040_ct,pf_2035_2040_tv,ni_2030_2040_ng,ni_2030_2040_ct,ni_2030_2040_tv,mae,n_fully_extinct,gof,retention_rank
219,0.1304280132000972,0.2838342262305088,0.17003804347334261,3.615301658708746,0.7935908760973467,0.5451486592952218,0.305917358793337,0.1489339819114396,0.0182109787387768,0.028802479308088002,0.3604494725959563,83261.9,25409.8,722520.5,3.532187063730988,0,3.532187063730988,185
220,0.12419290622085721,0.29750330662009106,0.1365641032611232,3.162148690035315,0.5603525427202388,0.4400278722944272,0.24464087416964625,0.11533125353592562,0.018049931896833002,0.11257256166787202,0.0,77670.7,90974.45,0.0,2.9882289570617173,1,102.98822895706172,395
221,0.09357596713458241,0.29734603995786923,0.14527047699703322,2.5385700365615937,0.5946325797004897,0.38254045289299243,0.28250664330807684,0.1349529037989296,0.0259325355519124,0.0,0.11233016909614542,109873.75,14.5,176933.35,3.2707670405663607,1,103.27076704056635,411
222,0.10638448965221221,0.22432606092437482,0.10078539787842722,3.719002997788702,0.4219284801916238,0.5386650404383206,0.17678982737702223,0.0845451321846558,0.0011034989117172,0.1366134667789548,0.2999283466031698,6625.05,119230.6,597868.35,2.3231415124697543,0,2.3231415124697543,87
223,0.017876228052508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0931768408835618,0.0786348158491128,0.0,429265.25,75797.3,0.0,1.367276962658578,2,201.36727696265856,495
224,0.1056056097387362,0.14406605993540902,0.09343532270995981,1.8734771549571698,0.3251778093883354,0.18570250471296462,0.14549714982604742,0.06880034546098761,0.011998003940976202,0.058899310123766,0.32104013434150225,63051.8,54061.8,638401.65,1.929029530242639,0,1.929029530242639,57
225,0.0936420458487754,0.1648490079951794,0.06747843361136881,5.03447333781452,0.2719249184292352,0.3534851507819744,0.3271537422801252,0.1193611069378994,0.12462969045760522,0.00938547963169,0.0,514670.25,8727.55,0.0,2.438129524296535,1,102.43812952429653,365
226,0.13840620195636202,0.23132276896000983,0.13698658227048383,6.372937608931198,0.46346346450870846,0.6019562257039061,0.2750461098002914,0.12299766449580121,0.0388374596368956,0.14527418446198262,0.10472132799369041,160062.6,118741.95,158886.65,2.6544532620814763,0,2.6544532620814763,104
227,0.0338860988595984,0.1873578749566382,0.11294610041445481,4.915564187855195,0.3576730121895476,0.32965190907635983,0.1763978104593906,0.09395028046424861,0.026636518816208203,0.12458250833525601,0.3131281934024978,128889.05,117173.05,669436.0,2.3333347857574984,0,2.3333347857574984,89
228,0.06349246527087721,0.30287390566897404,0.11272190359826542,2.4163892729385656,0.504714881967846,0.5871516993166712,0.27342027839138283,0.1394280222919444,0.1125080573486682,0.0,0.1648226309380096,487527.7,0.0,297192.0,3.635120882475132,1,103.63512088247514,429
229,0.122932403011897,0.0548517689620962,0.023814985694944002,1.244370139235155,0.12815533980582522,0.0895747266099634,0.0753341433778856,0.0350911300121506,0.119243225999033,0.263269117349032,0.17122536000798422,538947.6,258695.95,327263.55,1.4645527438273958,0,1.4645527438273958,34
230,0.1387341280294436,0.24772233057351084,0.138939500679563,5.062190052540872,0.6354538988795273,0.532517531000188,0.30997828283920426,0.1575041861606062,0.07072801534398261,0.16227570200061922,0.0,293952.7,136534.9,0.0,3.076504788903734,1,103.07650478890373,400
231,0.0206153257660514,0.1124187807460562,0.06069865033485541,5.5672684150982406,0.16361112249685564,0.18890034772655043,0.1440296499910742,0.06707000228237481,0.1471674563102234,0.1509155821523048,0.0,682819.5,146032.4,0.0,2.2941550245878695,1,102.29415502458787,358
