draw_idx,hiv_prev_15_49_2010_2020,trep_f_2016,nontrep_f_2016,hiv_trep_ratio_2016,fsw_prev_2019,primary_share,secondary_share,early_lat_share,pf_2035_2040_ng,pf_2035_2040_ct,pf_2035_2040_tv,ni_2030_2040_ng,ni_2030_2040_ct,ni_2030_2040_tv,mae,n_fully_extinct,gof,retention_rank
348,0.13001078841031477,0.28041481820736813,0.11644865460260034,2.2780340701373882,0.572827875348314,0.39649788286818843,0.28078948991809954,0.12271262721371205,0.007365680157463543,0.23743121235436498,0.18101036347536054,38878.85,218681.75,338493.8,2.8466277226564864,0,2.8466277226564864,122
349,0.18136568098242462,0.0002060380116902441,0.0,0.0,0.0,0.0,0.0,0.0,0.056405880743145134,0.0,0.26123182931658023,245756.15,4.35,482391.8,1.1669673913387857,2,201.16696739133877,494
350,0.03289695998057931,0.28606250139958417,0.13401151424607116,2.5617658448379705,0.45881895881895884,0.5277866186480078,0.30751546038489136,0.16469792096710087,0.013605764756919703,0.2026867779657812,0.24235068093308415,76067.0,185704.4,450274.3,3.1295610651630623,0,3.1295610651630623,148
351,0.15988079831833338,0.3421175402602458,0.225083428568496,3.0048530433590153,0.5996032592762532,0.4834920510386823,0.3523689519609841,0.1641389970003336,0.15841553672802922,0.023110857067767977,0.15349218863473246,697329.65,22077.7,272971.2,5.379658955308763,0,5.379658955308763,303
352,0.23073232594002233,0.20213200798339134,0.13572898919010998,3.2780195042174753,0.47974931453192327,0.2588259059839003,0.2259120540242341,0.11526203999186564,0.02591340017853485,0.003752797394942871,0.0,106002.25,3456.8,0.0,2.774545341169194,1,102.77454534116919,380
353,0.1627052842157277,0.21090103861215823,0.12444291050331655,2.4448229166063706,0.40545371342431824,0.3203759877437946,0.18563610326750424,0.09398790898870116,0.0,0.058515372525418476,0.20441744585369412,0.0,49168.05,326437.05,2.576235347590834,1,102.57623534759084,370
354,0.10235709709871235,0.13905772857447182,0.04658103176061542,3.8615784044844497,0.22527932926913335,0.2329338487159423,0.2500127297498424,0.11705342153421527,0.008888023542095015,0.20491244862231678,0.0,42322.6,176553.45,0.0,1.2733943432051538,1,101.27339434320515,328
355,0.22127137259145924,0.18324689306755554,0.08218041776307564,7.429793656107025,0.3332076974995307,0.5143944577072761,0.17605963324061755,0.10954590905210637,0.09235885049993747,0.1654193090494675,0.0,382855.1,142555.3,0.0,2.4126091803048135,1,102.41260918030481,364
356,0.14365293743446136,0.29710696214727683,0.19409026243959565,2.8402459402172515,0.6174270150157687,0.5927305407642135,0.26314878440372125,0.14412067483206528,0.004422456695768761,0.24447053254848564,0.34775221084286617,21755.8,231676.65,798191.65,3.953857068074973,0,3.953857068074973,220
357,0.07079062625951385,0.382195601137514,0.17248217213441136,2.1755922309174798,0.7661223237793366,0.5608257204116303,0.29702097837620134,0.14211586905794787,0.05629068821388521,0.11444975724622952,0.31383286076522476,264855.55,106924.45,649949.45,4.272744066790202,0,4.272744066790202,248
358,0.026597401635210995,0.09541741645169365,0.03584767953615379,1.230680350485421,0.22265512265512263,0.19769790450129326,0.13589993960286284,0.06640215589584388,0.06824044916948831,0.06262398087411448,0.006319786966511659,316372.6,60647.7,10712.6,1.3717568556590365,0,1.3717568556590365,31
359,0.12884487527623148,0.33883192341226004,0.14765113163045487,2.581657417993041,0.7340198813955904,0.4811661497924951,0.3398681154843251,0.17896573472317984,0.005240601429654013,0.15590205312284688,0.0,23940.95,128452.6,0.0,3.4207482780065503,1,103.42074827800656,417
360,0.20790908819146248,0.11000373924182591,0.051348533198969884,1.9517447740522555,0.2421453577930262,0.2567988193420513,0.09262514042086455,0.050576040237084174,0.11750397595111395,0.0022630425059399577,0.0154475360216085,443502.8,2066.25,23037.6,2.04018846660005,0,2.04018846660005,63
361,0.14753582056848386,0.3319672994198001,0.14195961881529234,2.667603804441184,0.6376881766636882,0.5169420919469003,0.3278662625861733,0.15519164546692643,0.13306593303246478,0.19205198293094328,0.0,610648.65,184888.05,0.0,4.16224285023454,1,104.16224285023453,449
362,0.03721698743687716,0.3728125998881649,0.20968038332632624,2.1099488218679654,0.7946364085256283,0.5159717408861658,0.3186898846729958,0.16533837444083843,0.008377769649991889,0.19829027264702795,0.17517650929226128,44494.7,177498.85,302197.4,4.477417039448066,0,4.477417039448066,270
