hiv.beta_m2f,log_syph.beta_m2f,syph.time_to_undetectable,log_ng.beta_m2f,log_ct.beta_m2f,log_tv.beta_m2f,structuredsexual.prop_f0,structuredsexual.m1_conc,structuredsexual.dur_sw
0.044734689139523526,-1.1599697489594074,12.307150321488814,-2.864641265494911,-3.2417147736562963,-1.8264631554337432,0.8243971130441732,0.2718044623804414,5.188825073072223
0.048202636277630335,-1.0639527397536037,14.27503026880174,-2.7669057751553447,-2.248096643340933,-2.6714773011554316,0.6437551635827983,0.2710038223724958,14.800004203713026
0.028124116957632637,-1.982965174795531,12.323258407665575,-2.3822054130682115,-3.071285509129597,-2.6382331627475852,0.6035528116507691,0.1264247806563411,2.2469267457651596
0.005128231381705265,-1.423760629735932,21.422915490912462,-2.5154596360827925,-2.2090415063990467,-2.927114717694389,0.7485393442813053,0.17840967471381602,11.723777887948378
0.038728060796401065,-1.7031097618274256,29.36449616384885,-2.56068572422584,-3.21680104759205,-2.7548394870706936,0.6400391092386333,0.21131368791980532,12.759709005324584
0.021265150668127154,-1.2973220547057986,15.211183815908832,-2.5330451782848478,-2.776641622041887,-1.9214836515036902,0.7240520472390823,0.24795390040593968,14.523225810006368
0.028953642480130413,-1.157465162119833,26.822853978075937,-3.0989877706752624,-2.7891778513171155,-2.154396775868916,0.5586361211490948,0.08430268698833926,2.510716236469724
0.017557460238748532,-1.7147652193266334,23.697036177696802,-2.556137336916419,-2.6007962284756427,-2.3697753296453916,0.791293399925892,0.2036059939713103,9.650650227099765
0.0051089831712580885,-1.3449182542612772,16.59752968784971,-2.9681462597559047,-2.2987990701488092,-2.860997205627177,0.6893891564367698,0.27736142322961516,9.626756764226696
0.009187899284393671,-1.8261637005030582,28.0701717217209,-2.584223894078931,-3.017781915854902,-2.8807781041059313,0.8035443136766773,0.05012440657250712,13.29044060206794
0.040062814608451174,-2.2353016313803575,19.873228543228016,-2.401092608707436,-3.4340746119086436,-2.2248460522529108,0.8640045509072513,0.19278621680343805,4.636512354666362
0.04488275575964657,-1.182982692606261,15.30255073926225,-2.600531294900116,-2.6247632860119534,-2.3745310916896107,0.7513961008747246,0.05341923375849975,3.091753965652306
0.009686683245699837,-1.8080190950859822,28.2953462329655,-2.5494419643963955,-2.8732521530113786,-1.9432981120712902,0.8859707837973929,0.1383780720205125,10.065954567529918
0.037369209039063385,-2.288772801749701,20.96066863780498,-2.606382305004513,-2.8461925022267254,-2.565661515033594,0.7730439655509254,0.22261269957806423,2.321895870429099
0.03777400685089581,-2.0616543774636398,29.611663306307115,-2.6501711372223653,-2.3109672060613784,-2.732241107871162,0.636137077339357,0.19961458012390415,6.679339234429128
0.028179525428426697,-1.0515394617612772,18.071856303434817,-2.4302885834575516,-3.456072194392821,-2.0639420988760513,0.863168944018466,0.1668252640748102,11.759951592379123
0.007154127957396379,-1.3902212321294345,26.529018154026346,-2.7625118896080787,-2.928622157223438,-2.8206331385319516,0.7339271088906646,0.12613707275049196,13.896576347502348
0.016081241610216936,-1.105181972675366,17.386989880099467,-2.7416450464387587,-2.4126389126424606,-2.2621888269626593,0.700824028975695,0.26430171130087454,9.476971315991205
0.01640040776110343,-1.1889421190871297,12.701094590222365,-2.852180702511298,-2.2459463184234685,-2.6602785761942296,0.6540807685752477,0.060486097802646605,9.317957709417449
0.02001156278296283,-1.9425537056938669,22.09424080319149,-2.6895785626337814,-3.0734290866285803,-2.246610151056355,0.7114252246300626,0.07611302994473672,12.652114276163696
0.021441566292763448,-1.369119461985029,27.83846062741586,-2.7872941011107373,-3.125420123658291,-2.295909983257383,0.715457870582391,0.24994203358344008,4.711369194184768
0.03478719986837646,-1.3345869138341322,29.905332056579525,-2.5614321496927834,-3.301635237212643,-2.841330870038085,0.5549073670721131,0.2574672951529091,8.999457981714745
0.037789938613996925,-1.5307947016728982,10.528212665649022,-2.986274675581579,-2.8938221441916365,-2.0475803847011695,0.8520569233647537,0.15370688902161722,2.266956171325034
