seed,year,stage,n,share
102,2014,late_latent,0,0.0
102,2015,primary,100,0.6369426751592356
102,2015,secondary,52,0.33121019108280253
102,2015,early_latent,5,0.03184713375796178
102,2015,late_latent,0,0.0
102,2016,primary,64,0.6336633663366337
102,2016,secondary,35,0.3465346534653465
102,2016,early_latent,2,0.019801980198019802
102,2016,late_latent,0,0.0
102,2017,primary,43,0.5512820512820513
102,2017,secondary,35,0.44871794871794873
102,2017,early_latent,0,0.0
102,2017,late_latent,0,0.0
102,2018,primary,146,0.6728110599078341
102,2018,secondary,68,0.31336405529953915
102,2018,early_latent,3,0.013824884792626729
102,2018,late_latent,0,0.0
102,2019,primary,183,0.6245733788395904
102,2019,secondary,104,0.35494880546075086
102,2019,early_latent,6,0.020477815699658702
102,2019,late_latent,0,0.0
102,2020,primary,155,0.6007751937984496
102,2020,secondary,97,0.375968992248062
102,2020,early_latent,6,0.023255813953488372
102,2020,late_latent,0,0.0
102,2021,primary,144,0.555984555984556
102,2021,secondary,110,0.4247104247104247
102,2021,early_latent,5,0.019305019305019305
102,2021,late_latent,0,0.0
102,2022,primary,120,0.5825242718446602
102,2022,secondary,80,0.3883495145631068
102,2022,early_latent,6,0.02912621359223301
102,2022,late_latent,0,0.0
102,2023,primary,108,0.5775401069518716
102,2023,secondary,74,0.39572192513368987
102,2023,early_latent,5,0.026737967914438502
102,2023,late_latent,0,0.0
102,2024,primary,141,0.6467889908256881
102,2024,secondary,74,0.3394495412844037
102,2024,early_latent,3,0.013761467889908258
102,2024,late_latent,0,0.0
102,2025,primary,155,0.6858407079646017
102,2025,secondary,68,0.3008849557522124
102,2025,early_latent,3,0.01327433628318584
102,2025,late_latent,0,0.0
102,2026,primary,216,0.6352941176470588
102,2026,secondary,116,0.3411764705882353
102,2026,early_latent,8,0.023529411764705882
102,2026,late_latent,0,0.0
102,2027,primary,142,0.5590551181102362
102,2027,secondary,108,0.4251968503937008
102,2027,early_latent,4,0.015748031496062992
102,2027,late_latent,0,0.0
102,2028,primary,141,0.6811594202898551
102,2028,secondary,66,0.3188405797101449
102,2028,early_latent,0,0.0
102,2028,late_latent,0,0.0
102,2029,primary,69,0.5433070866141733
102,2029,secondary,54,0.4251968503937008
102,2029,early_latent,4,0.031496062992125984
102,2029,late_latent,0,0.0
102,2030,primary,161,0.6680497925311203
102,2030,secondary,79,0.3278008298755187
102,2030,early_latent,1,0.004149377593360996
102,2030,late_latent,0,0.0
102,2031,primary,254,0.6737400530503979
102,2031,secondary,117,0.3103448275862069
102,2031,early_latent,6,0.015915119363395226
102,2031,late_latent,0,0.0
102,2032,primary,239,0.6081424936386769
102,2032,secondary,149,0.3791348600508906
102,2032,early_latent,5,0.01272264631043257
102,2032,late_latent,0,0.0
102,2033,primary,190,0.6188925081433225
102,2033,secondary,111,0.36156351791530944
102,2033,early_latent,6,0.019543973941368076
102,2033,late_latent,0,0.0
102,2034,primary,88,0.546583850931677
102,2034,secondary,68,0.422360248447205
102,2034,early_latent,5,0.031055900621118012
102,2034,late_latent,0,0.0
102,2035,primary,103,0.5659340659340659
102,2035,secondary,75,0.41208791208791207
102,2035,early_latent,4,0.02197802197802198
102,2035,late_latent,0,0.0
102,2036,primary,127,0.625615763546798
102,2036,secondary,72,0.35467980295566504
102,2036,early_latent,4,0.019704433497536946
102,2036,late_latent,0,0.0
102,2037,primary,134,0.5702127659574469
102,2037,secondary,96,0.4085106382978723
102,2037,early_latent,5,0.02127659574468085
102,2037,late_latent,0,0.0
102,2038,primary,186,0.6138613861386139
102,2038,secondary,110,0.36303630363036304
102,2038,early_latent,7,0.0231023102310231
102,2038,late_latent,0,0.0
102,2039,primary,179,0.667910447761194
102,2039,secondary,87,0.3246268656716418
102,2039,early_latent,2,0.007462686567164179
102,2039,late_latent,0,0.0
102,2040,primary,25,0.7575757575757576
102,2040,secondary,8,0.24242424242424243
102,2040,early_latent,0,0.0
102,2040,late_latent,0,0.0
103,1985,primary,136,0.6507177033492823
103,1985,secondary,69,0.33014354066985646
103,1985,early_latent,4,0.019138755980861243
103,1985,late_latent,0,0.0
103,1986,primary,561,0.6470588235294118
103,1986,secondary,294,0.3391003460207612
103,1986,early_latent,12,0.01384083044982699
103,1986,late_latent,0,0.0
103,1987,primary,207,0.5111111111111111
103,1987,secondary,190,0.4691358024691358
103,1987,early_latent,8,0.019753086419753086
103,1987,late_latent,0,0.0
103,1988,primary,52,0.49523809523809526
103,1988,secondary,45,0.42857142857142855
103,1988,early_latent,8,0.0761904761904762
103,1988,late_latent,0,0.0
103,1989,primary,64,0.5423728813559322
103,1989,secondary,51,0.4322033898305085
103,1989,early_latent,3,0.025423728813559324
103,1989,late_latent,0,0.0
103,1990,primary,44,0.5301204819277109
103,1990,secondary,36,0.43373493975903615
103,1990,early_latent,3,0.03614457831325301
103,1990,late_latent,0,0.0
103,1991,primary,84,0.5915492957746479
103,1991,secondary,55,0.3873239436619718
103,1991,early_latent,3,0.02112676056338028
103,1991,late_latent,0,0.0
103,1992,primary,59,0.4306569343065693
103,1992,secondary,72,0.5255474452554745
103,1992,early_latent,6,0.043795620437956206
103,1992,late_latent,0,0.0
103,1993,primary,108,0.6666666666666666
103,1993,secondary,52,0.32098765432098764
103,1993,early_latent,2,0.012345679012345678
103,1993,late_latent,0,0.0
103,1994,primary,111,0.581151832460733
103,1994,secondary,76,0.39790575916230364
103,1994,early_latent,4,0.020942408376963352
103,1994,late_latent,0,0.0
103,1995,primary,95,0.510752688172043
103,1995,secondary,88,0.4731182795698925
103,1995,early_latent,3,0.016129032258064516
103,1995,late_latent,0,0.0
103,1996,primary,86,0.581081081081081
103,1996,secondary,57,0.38513513513513514
103,1996,early_latent,5,0.033783783783783786
103,1996,late_latent,0,0.0
103,1997,primary,57,0.5876288659793815
103,1997,secondary,40,0.41237113402061853
103,1997,early_latent,0,0.0
103,1997,late_latent,0,0.0
103,1998,primary,116,0.7160493827160493
103,1998,secondary,45,0.2777777777777778
103,1998,early_latent,1,0.006172839506172839
103,1998,late_latent,0,0.0
103,1999,primary,166,0.6859504132231405
103,1999,secondary,72,0.2975206611570248
103,1999,early_latent,4,0.01652892561983471
103,1999,late_latent,0,0.0
103,2000,primary,111,0.5577889447236181
103,2000,secondary,81,0.40703517587939697
103,2000,early_latent,7,0.035175879396984924
103,2000,late_latent,0,0.0
103,2001,primary,66,0.6226415094339622
103,2001,secondary,36,0.33962264150943394
103,2001,early_latent,4,0.03773584905660377
103,2001,late_latent,0,0.0
103,2002,primary,44,0.5569620253164557
103,2002,secondary,34,0.43037974683544306
103,2002,early_latent,1,0.012658227848101266
103,2002,late_latent,0,0.0
103,2003,primary,47,0.44761904761904764
103,2003,secondary,58,0.5523809523809524
103,2003,early_latent,0,0.0
103,2003,late_latent,0,0.0
103,2004,primary,31,0.5636363636363636
103,2004,secondary,16,0.2909090909090909
103,2004,early_latent,8,0.14545454545454545
103,2004,late_latent,0,0.0
103,2005,primary,52,0.7123287671232876
103,2005,secondary,20,0.273972602739726
103,2005,early_latent,1,0.0136986301369863
103,2005,late_latent,0,0.0
103,2006,primary,158,0.7314814814814815
103,2006,secondary,54,0.25
103,2006,early_latent,4,0.018518518518518517
103,2006,late_latent,0,0.0
103,2007,primary,239,0.6390374331550802
103,2007,secondary,129,0.3449197860962567
103,2007,early_latent,6,0.016042780748663103
103,2007,late_latent,0,0.0
103,2008,primary,216,0.5950413223140496
103,2008,secondary,140,0.3856749311294766
103,2008,early_latent,7,0.01928374655647383
103,2008,late_latent,0,0.0
103,2009,primary,156,0.5842696629213483
103,2009,secondary,106,0.3970037453183521
103,2009,early_latent,5,0.018726591760299626
103,2009,late_latent,0,0.0
103,2010,primary,85,0.5483870967741935
103,2010,secondary,59,0.38064516129032255
103,2010,early_latent,11,0.07096774193548387
103,2010,late_latent,0,0.0
103,2011,primary,57,0.6627906976744186
103,2011,secondary,29,0.3372093023255814
103,2011,early_latent,0,0.0
103,2011,late_latent,0,0.0
103,2012,primary,28,0.6511627906976745
103,2012,secondary,15,0.3488372093023256
103,2012,early_latent,0,0.0
103,2012,late_latent,0,0.0
103,2013,primary,16,0.5714285714285714
103,2013,secondary,11,0.39285714285714285
103,2013,early_latent,1,0.03571428571428571
103,2013,late_latent,0,0.0
103,2014,primary,24,0.6666666666666666
103,2014,secondary,9,0.25
103,2014,early_latent,3,0.08333333333333333
103,2014,late_latent,0,0.0
103,2015,primary,21,0.5121951219512195
103,2015,secondary,19,0.4634146341463415
103,2015,early_latent,1,0.024390243902439025
103,2015,late_latent,0,0.0
103,2016,primary,88,0.6875
103,2016,secondary,38,0.296875
103,2016,early_latent,2,0.015625
103,2016,late_latent,0,0.0
103,2017,primary,278,0.7183462532299741
103,2017,secondary,104,0.268733850129199
103,2017,early_latent,5,0.012919896640826873
103,2017,late_latent,0,0.0
103,2018,primary,203,0.628482972136223
103,2018,secondary,111,0.34365325077399383
103,2018,early_latent,9,0.02786377708978328
103,2018,late_latent,0,0.0
103,2019,primary,138,0.6388888888888888
103,2019,secondary,72,0.3333333333333333
103,2019,early_latent,6,0.027777777777777776
103,2019,late_latent,0,0.0
103,2020,primary,121,0.6505376344086021
103,2020,secondary,63,0.3387096774193548
103,2020,early_latent,2,0.010752688172043012
103,2020,late_latent,0,0.0
103,2021,primary,168,0.631578947368421
103,2021,secondary,94,0.3533834586466165
103,2021,early_latent,4,0.015037593984962405
103,2021,late_latent,0,0.0
103,2022,primary,209,0.616519174041298
103,2022,secondary,128,0.3775811209439528
103,2022,early_latent,2,0.0058997050147492625
103,2022,late_latent,0,0.0
103,2023,primary,128,0.5541125541125541
103,2023,secondary,97,0.4199134199134199
103,2023,early_latent,6,0.025974025974025976
103,2023,late_latent,0,0.0
103,2024,primary,131,0.6238095238095238
103,2024,secondary,72,0.34285714285714286
103,2024,early_latent,7,0.03333333333333333
103,2024,late_latent,0,0.0
103,2025,primary,179,0.5986622073578596
103,2025,secondary,116,0.3879598662207358
103,2025,early_latent,4,0.013377926421404682
103,2025,late_latent,0,0.0
103,2026,primary,223,0.7384105960264901
103,2026,secondary,76,0.25165562913907286
103,2026,early_latent,3,0.009933774834437087
103,2026,late_latent,0,0.0
103,2027,primary,220,0.6395348837209303
103,2027,secondary,117,0.34011627906976744
103,2027,early_latent,7,0.020348837209302327
103,2027,late_latent,0,0.0
103,2028,primary,155,0.6224899598393574
103,2028,secondary,88,0.3534136546184739
103,2028,early_latent,6,0.024096385542168676
103,2028,late_latent,0,0.0
103,2029,primary,52,0.5977011494252874
103,2029,secondary,30,0.3448275862068966
103,2029,early_latent,5,0.05747126436781609
103,2029,late_latent,0,0.0
103,2030,primary,113,0.70625
103,2030,secondary,45,0.28125
103,2030,early_latent,2,0.0125
103,2030,late_latent,0,0.0
103,2031,primary,127,0.596244131455399
103,2031,secondary,81,0.38028169014084506
103,2031,early_latent,5,0.023474178403755867
103,2031,late_latent,0,0.0
103,2032,primary,154,0.6311475409836066
103,2032,secondary,83,0.3401639344262295
103,2032,early_latent,7,0.028688524590163935
103,2032,late_latent,0,0.0
103,2033,primary,172,0.5850340136054422
103,2033,secondary,118,0.4013605442176871
103,2033,early_latent,4,0.013605442176870748
103,2033,late_latent,0,0.0
103,2034,primary,321,0.6757894736842105
103,2034,secondary,150,0.3157894736842105
103,2034,early_latent,4,0.008421052631578947
103,2034,late_latent,0,0.0
103,2035,primary,233,0.6213333333333333
103,2035,secondary,135,0.36
103,2035,early_latent,7,0.018666666666666668
103,2035,late_latent,0,0.0
103,2036,primary,107,0.5977653631284916
103,2036,secondary,62,0.3463687150837989
103,2036,early_latent,10,0.055865921787709494
103,2036,late_latent,0,0.0
103,2037,primary,118,0.6666666666666666
103,2037,secondary,58,0.327683615819209
103,2037,early_latent,1,0.005649717514124294
103,2037,late_latent,0,0.0
103,2038,primary,173,0.6070175438596491
103,2038,secondary,111,0.3894736842105263
103,2038,early_latent,1,0.0035087719298245615
103,2038,late_latent,0,0.0
103,2039,primary,222,0.6416184971098265
103,2039,secondary,120,0.3468208092485549
103,2039,early_latent,4,0.011560693641618497
103,2039,late_latent,0,0.0
103,2040,primary,30,0.7692307692307693
103,2040,secondary,8,0.20512820512820512
103,2040,early_latent,1,0.02564102564102564
103,2040,late_latent,0,0.0
